"In December 2009, a rejection letter from Columbia University found its way to the southern Chinese city of Shenzhen.",0,6416.007,7386.007,,
"It was addressed to Lu Jingyu, a top student and member of her schoolÕs student government.",0,5081.559,6051.559,,
"As she read the disheartening words, Ms. Lu immediately began to panic.",0,2649.975,3619.975,,
Where had she gone wrong?,0,3199.388,4169.388,,
How could she fix this?,0,18311.877,19281.877,,
"For answers, she turned to ThinkTank Learning, a college admission consulting company from California that had recently opened an office in Shenzhen, next door to Hong Kong.",1,12209.363,13179.363,,
"ÒI wanted American professionals to look at my application and shed some new light on how I could make it better,Ó she said.",1,4342.746,5312.746,,
"The price was steep: 100,000 renminbi, or $15,000.",2,18568.766,19538.766,,
"But it came with a 100 percent money-back guarantee Ñ if Ms. Lu was rejected from the nine selective U.S. universities to which she applied, her family would get a full refund.",3,10835.965,11805.965,,
"Ms. Lu brainstormed with a ThinkTank consultant on ways to redo her admissions essay, which had originally been about playing badminton.",0,11403.042,12373.042,,
The new version she came up with focused on a cross-strait dialogue conference that Ms. Lu had organized with high schoolers in Taiwan.,0,4224.792,5194.792,,
"Happily for Ms. Lu and for ThinkTank, the approach worked.",0,5032.352,6002.352,,
She has just completed her first year at the University of Pennsylvania.,0,22183.719,23153.719,,
"As a record number of students from outside the United States compete for a limited number of spots at the most selective American colleges, companies like ThinkTank are seeking to profit from their ambitions.",8,22363.796,23333.796,,
"In the United States, students have long turned to independent college counselors, but in recent years, larger outfits have entered the market, offering full-service designer courses, extracurricular activities and focused application assistance.",3,4641.179,5611.179,,
 These services have spread to the fast-growing and lucrative market in China.,3,9277.588,10247.588,,
"With China sending more students to American colleges than any other country, the competition for spots at the top schools has soared.",4,30917.676,31887.676,,
"During the 2009-10 academic year, 39,947 Chinese undergraduates were studying in the United States, a 52 percent increase from the year before and about five times as many as five years earlier, according to the Institute of International Education, a U.S. organization.",3,5352.885,6322.885,,
But students from China can find themselves ill-prepared for the admissions process at American colleges.,4,12639.616,13609.616,,
"The education system in mainland China focuses on assiduous preparation for the national university entrance exam, the gaokao, often at the expense of extracurricular activities.",2,12692.687,13662.687,,
"About 400 overseas education agencies Ñ including joint Chinese-foreign schools, language training centers and college application consulting agencies Ñ are certified by the Chinese Ministry of Education.",0,11433.162,12403.162,,
"The ministry is affiliated with the two largest application consulting agencies in China, the China Center for International Education Exchange and Chivast Education International.",0,13121.307,14091.307,,
"Some of these agencies offer to write their clientsÕ college essays from scratch, train them for alumni interviews and even modify student transcripts, consultants have said.",5,7856.061,8826.061,,
"Capitalizing on the increasingly globalized education system, ThinkTank Learning has tapped into the market in the United States and China.",1,24958.897,25928.897,,
"The founder of the company is Steven Ma, 32, a former Wall Street analyst who started the company as a business for preparing students for college entrance tests in 2002 before expanding into application consulting in 2006, starting with seven students.",0,5204.334,6174.334,,
"In 2010, that number had risen to 300, including 75 from China.",0,5253.562,6223.562,,
"The company said it made about $7 million last year, with 50 percent from admission consulting.",1,8732.168,9702.168,,
"ThinkTank said it was able to distill the college admissions process into an exact science, which Mr. Ma compared with genetic engineering.",5,3524.498,4494.498,,
"ÒWe make unnatural stuff happen,Ó he said.",0,17829.783,18799.783,,
"Students, whose parents often pay tens or even hundreds of thousands of dollars, are molded by ThinkTank into well-rounded, socially conscious overachievers through a regimen often beginning as early as the year before entering high school.",4,14699.027,15669.027,,
"The company designs extracurricular activities for the students; guides them in essay writing; tutors them for the SAT, the U.S. college admission exam; and helps them with meet-and-greet sessions with alumni.",2,7885.107,8855.107,,
"ÒThereÕs a system built by colleges designed to pick out future stars and we are here to crack that system,Ó Mr. Ma said.",4,2628.073,3598.073,,
LuShuang Xu provides an example of that approach.,0,12016.848,12986.848,,
"Ms. Xu, who was born and raised in China before emigrating to suburban California at age 9, had high hopes that she would be the first in her family to go to college.",0,18128.595,19098.595,,
"But poor results on a practice SAT and a dearth of extracurricular activities convinced Ms. Xu, 17, that she needed a scholastic makeover if she were to make it into a school her parents could brag about to relatives.",0,11460.210,12430.210,,
"ThinkTank sent her to a public speaking camp, helped her improve her college essay and gave her the e-mail addresses of all the members of the Stanford University history department.",1,5104.087,6074.087,,
"At the companyÕs prompting, she found two internships with department professors.",0,5865.194,6835.194,,
"She also enrolled in ThinkTankÕs college prep courses, which helped improve her SAT score 410 points to 2160 out of 2400.",0,3377.402,4347.402,,
"Next autumn, she will start at Harvard University.",0,8435.457,9405.457,,
"ThinkTankÕs success with students in CaliforniaÕs Asian-American community, which accounts for 90 percent of the companyÕs American clients, has drawn interest from wealthy parents in China.",0,3940.102,4910.102,,
Mr. Ma opened an office in Shenzhen in 2009 and another in Beijing last year.,0,10640.758,11610.758,,
"The company entered China at a time when the college consulting industry on the mainland was booming, with numerous agencies promising to make Chinese studentÕs academic dreams come true, often through questionable practices.",1,13167.199,14137.199,,
"One company, Best Education, has offices across China and charges clients an average of 500,000 renminbi for writing clientsÕ essays, training them for the visa interview at the U.S. Embassy in Beijing and providing career guidance.",1,5501.160,6471.160,,
"ÒThe students just supply their information and we do all the work,Ó said one representative, who requested anonymity to protect his job.",2,3767.610,4737.610,,
Best Education offers a 50 percent refund if an applicant is rejected by the studentÕs chosen schools.,1,8831.667,9801.667,,
