Toward Measuring Visualization Insight,,,
North,,,
Chris,,,
12,,,
Insight: The capacity to discern the true nature of a situation; The act or outcome of grasping the inward or hidden nature of things or of perceiving in an intuitive manner. -Merriam-Webster,0,3854.603,4828.603
p,,,
Recent visualization research literature has paid a good amount of attention to evaluating visualizations.,1,6376.12,7350.12
"For example, this trend was evident at the 2005 IEEE Visualization conference where many of the presentations included evaluation components.",0,4245.215,5219.215
The conference provided some inspiring presentations that probed the philosophical boundaries of visualization and evaluation.,0,10047.119,11021.119
"Unfortunately, there were also a few too many Boolean usability studies that offered only two alternatives: either the users liked the visualization tool in question, or they did not.",1,3754.482,4728.482
"In between, there was a variety of rigorously controlled experiments.",0,9111.83,10085.83
"Therefore, in light of this trend, it seems an appropriate time to reopen the question about what the ultimate purpose of visualization is and how it should be evaluated.",4,3307.545,4281.545
p,,,
One potential claim is: The purpose of visualization is insight.,4,10127.202,11101.202
The purpose of visualization evaluation is to determine to what degree visualizations achieve this purpose.,3,7172.525,8146.525
p,,,
"If this claim is true, then evaluating visualizations should seek to determine how well visualizations generate insight.",2,7835.104,8809.104
"Measuring insight would enable the direct comparison of visualization design alternatives, or the comparison against an insight goal.",2,6774.762,7748.762
"But what, exactly, is insight?",1,13953.55,14927.55
How can it be measured and evaluated?,0,4645.704,5619.704
Do current approaches for evaluating visualizations provide measures of insight?,0,6243.905,7217.905
p,,,
Defining insight,0,14768.702,15742.702
p,,,
Insight has been commonly stated as the broader purpose of information visualization by many authors.,1,9440.06,10414.06
The recent emphasis on visual analytics has stimulated an interest in better understanding the purpose of visualization and rigorously evaluating progress toward that purpose.,0,3348.608,4322.608
Insight seems to capture the intuitive notion of visualization's purpose.,0,8091.918,9065.918
"However, for the most part, the definition of insight remains fairly informal, making success difficult to evaluate.",3,5418.948,6392.948
p,,,
"A default and implicit definition is to equate insight with user tasks, such as finding extreme values.",0,7415.188,8389.188
"That is, the answers to questions about the data constitute insight.",0,10218.988,11192.988
"Yet, truly measuring the insight-generating capability of visualizations will require a more in-depth examination of insight itself.",1,11385.192,12359.192
"Perhaps researchers have resisted the temptation to formally define insight, believing that any formal definition would either be too restrictive to capture its essence or too general and vague to be useful.",1,6330.718,7304.718
